A,maxDev,finalTilt,attRMS,ok
0.1,0.826343071256004,0.153268931416044,0.31841648579393,1
0.13,1.77381181786145,0.0609020619780443,0.400022313154349,1
0.16,3.87823517214133,1.87815104028421,1.845086648844,0
0.2,2.36073701702184,1.45195363959529,0.901523572266705,1
0.22,1.88741161840203,0.325049405299564,1.6648900565734,1
0.24,0.852196649737795,0.223595238997571,2.05038855380422,1
0.26,0.903917600919562,0.0942055913758253,2.29875234804487,1
0.28,1.57777828483229,0.258277305853655,3.0770718313545,1
0.3,4.81176718100672,2.74164335912539,4.95526823908799,1
0.32,551.474413013785,79.9442159412264,51.0836099496366,0
