A,maxTilt,netRot,nFlips,finalTilt,finalRate,maxDev,settle,verdict,config
0.08,28.3697186961521,-0.174415471476138,0,0.17538454591,0.00752266137155235,0.86413533109559,2.855,no-flip,real gyro / est
0.1,45.5789807421167,-0.150527074615156,0,0.151518202924473,0.0119749393791369,0.822099410868935,3.3,no-flip,real gyro / est
0.12,66.7980196306121,-0.259668105149067,0,0.259784422786123,0.0395622532704643,1.32306532786122,9.12,no-flip,real gyro / est
0.13,78.8003875452514,2.28030430119067,0,2.28056100263995,0.204544615768508,1.77149047363048,13.755,no-flip,real gyro / est
0.14,91.8194951653608,10.8372292819978,0,10.8424048812814,0.239316484616807,2.41785533525979,14,return,real gyro / est
0.15,105.875902902891,3.34946588821327,0,3.3537465745963,0.0275186174238931,2.82953119123601,12.205,return,real gyro / est
0.16,120.909567516998,13.6054287729056,0,13.6063843239334,0.509818635101648,3.93967857581558,14,return,real gyro / est
0.18,154.234424381395,20.1988980012579,0,20.2162663875605,0.354829668010247,24.3506038196068,14,return,real gyro / est
0.2,178.530773296821,-23.1739562978621,0,23.1799538669466,0.0426755482874864,3.95035024953299,14,return,real gyro / est
0.22,176.998675352737,-395.255389919528,1,35.2611267471722,0.148440577262177,192.300435824154,14,flip x1 UNSETTLED,real gyro / est
0.24,178.62103931848,-352.30586151242,1,26.67105960488,0.0329581043022581,131.210941614716,14,flip x1 UNSETTLED,real gyro / est
0.28,173.77223972797,-350.682809431965,1,41.6688041285582,7.64804597013861,969.168161512918,14,flip x1 UNSETTLED,real gyro / est
0.32,179.804190123976,-908.075131477065,3,171.757903313823,0.0713190086125001,379.024934574627,14,flip x3 UNSETTLED,real gyro / est
0.36,176.763322940603,-854.752020121442,2,133.107555371471,5.9088104265965,760.174411093995,14,flip x2 UNSETTLED,real gyro / est
0.12,66.7980196306121,-0.259668105149067,0,0.259784422786123,0.0395622532704643,1.32306532786122,9.12,no-flip,ideal gyro / est
0.15,105.875902902891,12.7080535679627,0,12.7081025988786,0.0553403977652951,2.7751267657881,14,return,ideal gyro / est
0.2,178.530773296821,-362.996310523421,1,2.99808722785992,0.0347972128130104,2.43151851044924,12.095,flip x1 OK,ideal gyro / est
0.24,178.62103931848,-359.878251305057,1,0.1223941515818,0.00768664873711454,0.776624312041915,3.535,flip x1 OK,ideal gyro / est
0.28,171.900553395099,-359.849417064705,1,0.150909747227692,0.0261921985101974,1.18507795850913,7.315,flip x1 OK,ideal gyro / est
0.32,178.552581788646,-720.134345617781,2,0.141068620671945,0.0165380624867419,0.930406695475552,5.695,flip x2 OK,ideal gyro / est
0.36,176.489657714888,-1100.24985277412,3,20.2501944831117,0.0310005399992691,236.445592700097,14,flip x3 UNSETTLED,ideal gyro / est
0.32,178.632055135746,-716.497041230017,2,3.50306705424421,0.0152356906195493,1.46941183086935,9.38,flip x2 OK,ideal gyro / truth
0.36,176.540219758665,-1080.18483674648,3,17.8127138638804,0.56234449628921,19.7313941488942,14,flip x3 UNSETTLED,ideal gyro / truth
0.4,178.300246895464,-1078.92036580996,3,2.1832897559377,0.288718873299797,6.34957751946885,13.6,flip x3 OK,ideal gyro / truth
0.44,173.912814257115,-722.898883668151,2,26.7155439257497,0.163407625176117,21.3873820815894,14,flip x2 UNSETTLED,ideal gyro / truth
